Entity,Code,Year,"Age-standardized deaths that are from respiratory infections per 100,000 people, in both sexes aged all ages"
Brazil,BRA,2011,34.98286
Brazil,BRA,2012,34.411263
Brazil,BRA,2013,36.80644
Brazil,BRA,2014,36.412556
Brazil,BRA,2020,112.454056
Brazil,BRA,2019,33.377205
Brazil,BRA,2018,34.67223
Brazil,BRA,2017,35.724464
Brazil,BRA,2016,39.364998
Brazil,BRA,2015,38.1369
Brunei,BRN,2011,9.336382
Brunei,BRN,2012,21.352509
Brunei,BRN,2013,22.835491
Brunei,BRN,2014,34.28628
Brunei,BRN,2019,16.531717
Brunei,BRN,2018,19.56975
Brunei,BRN,2017,26.441254
Brunei,BRN,2016,26.443302
Brunei,BRN,2015,36.57733
Bulgaria,BGR,1964,66.65416
Bulgaria,BGR,1965,65.11658
Bulgaria,BGR,1966,63.773212
Bulgaria,BGR,1967,97.18083
Bulgaria,BGR,1968,70.584564
Bulgaria,BGR,1969,101.9551
Bulgaria,BGR,1970,73.676155
Bulgaria,BGR,1971,91.12202
Bulgaria,BGR,1972,84.7074
Bulgaria,BGR,1973,62.805943
Bulgaria,BGR,1974,59.194633
Bulgaria,BGR,1975,83.35353
Bulgaria,BGR,1976,61.777542
Bulgaria,BGR,1977,69.789635
Bulgaria,BGR,1978,53.472878
Bulgaria,BGR,1979,51.46639
Bulgaria,BGR,1980,50.987457
Bulgaria,BGR,1981,50.725807
Bulgaria,BGR,1982,46.651226
Bulgaria,BGR,1983,48.112926
Bulgaria,BGR,1984,40.31551
Bulgaria,BGR,1985,47.22465
Bulgaria,BGR,1986,41.070488
Bulgaria,BGR,1987,38.52728
Bulgaria,BGR,1988,37.870075
Bulgaria,BGR,1989,36.02421
Bulgaria,BGR,1990,34.632748
Bulgaria,BGR,1991,31.785212
Bulgaria,BGR,1992,30.751822
Bulgaria,BGR,1993,28.657728
Bulgaria,BGR,1994,29.797659
Bulgaria,BGR,1995,29.180185
Bulgaria,BGR,1996,31.780834
Bulgaria,BGR,1997,33.959133
Bulgaria,BGR,1998,26.266048
Bulgaria,BGR,1999,23.497177
Bulgaria,BGR,2000,22.451857
Bulgaria,BGR,2001,17.90553
Bulgaria,BGR,2002,15.937482
Bulgaria,BGR,2003,16.517986
Bulgaria,BGR,2004,14.579011
Bulgaria,BGR,2005,17.124136
Bulgaria,BGR,2006,15.397677
Bulgaria,BGR,2007,15.669889
Bulgaria,BGR,2008,15.647656
Bulgaria,BGR,2009,15.2834835
Bulgaria,BGR,2010,13.329918
Bulgaria,BGR,2011,11.715147
Bulgaria,BGR,2012,12.1898575
Bulgaria,BGR,2013,10.429033
Bulgaria,BGR,2014,12.140712
Bulgaria,BGR,2020,77.11261
Bulgaria,BGR,2019,11.691126
Bulgaria,BGR,2018,10.267219
Bulgaria,BGR,2017,11.014242
Bulgaria,BGR,2016,10.636419
Bulgaria,BGR,2015,10.393609
Canada,CAN,1950,43.81817
Canada,CAN,1951,57.67234
Canada,CAN,1952,39.065647
Canada,CAN,1953,42.38102
Canada,CAN,1954,34.584087
Canada,CAN,1955,38.471527
Canada,CAN,1956,38.93991
Canada,CAN,1957,47.074337
Canada,CAN,1958,37.901215
Canada,CAN,1959,44.360897
Canada,CAN,1960,37.19836
